date,type,category,item,amount,source,card
1/1/2012,הוצאה,נופש,," ₪  3,451 ",,
1/1/2012,הוצאה,שיקים,, ₪  -   ,,
1/1/2012,הוצאה,רכב ותחבורה,," ₪  2,315 ",,
1/1/2012,הוצאה,מזון ומשקאות,," ₪  1,935 ",,
1/1/2012,הוצאה,בילוי ומסעדות,," ₪  2,368 ",,
1/1/2012,הוצאה,מזומן,," ₪  1,460 ",,
1/1/2012,הוצאה,חינוך ומשפחה,, ₪  519 ,,
1/1/2012,הוצאה,מיסים ותשלומים,," ₪  2,513 ",,
1/1/2012,הוצאה,יופי ואביזרי אופנה,, ₪  507 ,,
1/1/2012,הוצאה,ביגוד והנעלה,," ₪  3,678 ",,
1/1/2012,הוצאה,בריאות,," ₪  2,111 ",,
1/1/2012,הוצאה,מוצרי חשמל ותקשורת,," ₪  2,116 ",,
1/1/2012,הוצאה,מתנות ומזכרות,," ₪  5,520 ",,
1/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  5,455 ",,
1/1/2012,הוצאה,בית וגן,," ₪  1,026 ",,
1/1/2012,הוצאה,תרבות ופנאי,, ₪  788 ,,
1/1/2012,הוצאה,שירותי בנקאות,, ₪  26 ,,
1/1/2012,הוצאה,ביטוח,, ₪  -   ,,
1/1/2012,הוצאה,שונות,," ₪  8,417 ",,
1/1/2012,הוצאה,מזון ומשקאות,, ₪  46 ,,
1/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"14,445.00",,
1/1/2012,הכנסה,הפקדת שיקים,,0.00,,
1/1/2012,הכנסה,מזומן,,0,,
1/1/2012,הכנסה,הכנסות אחרות,,781.15,,
1/1/2012,הכנסה,משכורת/קצבה,משכורת עינב,"6,467.00",,
1/1/2012,הכנסה,הפקדת שיקים,,0,,
1/1/2012,הכנסה,מזומן,,0,,
1/1/2012,הכנסה,הכנסות אחרות,,610,,
2/1/2012,הוצאה,נופש,, ₪  320 ,,
2/1/2012,הוצאה,שיקים,," ₪  11,797 ",,
2/1/2012,הוצאה,רכב ותחבורה,," ₪  2,489 ",,
2/1/2012,הוצאה,מזון ומשקאות,," ₪  1,313 ",,
2/1/2012,הוצאה,בילוי ומסעדות,," ₪  1,435 ",,
2/1/2012,הוצאה,מזומן,," ₪  1,762 ",,
2/1/2012,הוצאה,חינוך ומשפחה,, ₪  519 ,,
2/1/2012,הוצאה,מיסים ותשלומים,," ₪  1,677 ",,
2/1/2012,הוצאה,יופי ואביזרי אופנה,, ₪  531 ,,
2/1/2012,הוצאה,ביגוד והנעלה,, ₪  233 ,,
2/1/2012,הוצאה,בריאות,," ₪  1,355 ",,
2/1/2012,הוצאה,מוצרי חשמל ותקשורת,, ₪  449 ,,
2/1/2012,הוצאה,מתנות ומזכרות,, ₪  239 ,,
2/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  3,947 ",,
2/1/2012,הוצאה,בית וגן,, ₪  176 ,,
2/1/2012,הוצאה,תרבות ופנאי,, ₪  654 ,,
2/1/2012,הוצאה,שירותי בנקאות,, ₪  39 ,,
2/1/2012,הוצאה,ביטוח,, ₪  -   ,,
